# GLOBAL ANCESTRY SUMMARY (Aggregated over all files)
# Total SNVs called per state:
#   0,1,0,1: 741165
#   1,0,0,1: 599962
#   0,1,1,0: 378518
#   1,0,1,0: 352585
#   2,0,0,0: 97080
#   0,0,2,0: 92591
#   0,0,0,2: 55932
#   1,1,0,0: 36402
#   0,2,0,0: 20002
#   0,0,1,1: 13691
#----------------------------------------
,"0,1,0,1","0,1,1,0","1,0,0,1","1,0,1,0","0,0,2,0","2,0,0,0","0,0,0,2","0,2,0,0","1,1,0,0","0,0,1,1"
YH_024.posterior,34565,32258,16875,12326,1115,935,759,644,20,0
YH_030.posterior,33429,30466,14115,10558,4446,1203,405,193,4641,41
YH_029.posterior,16547,11469,21090,27915,5492,5466,1787,882,8195,654
YH_022.posterior,47169,14668,17364,15730,936,3224,338,54,0,14
YH_017.posterior,27217,24248,11434,21163,3340,6363,1443,1488,2702,99
YH_041.posterior,38413,13927,28550,9479,3194,816,4266,125,0,727
YH_031.posterior,39436,22471,29522,4937,1845,716,286,176,98,10
YH_025.posterior,31305,1585,35419,15118,8472,5170,425,115,0,1888
YH_028.posterior,13400,21892,16225,25879,9375,4443,4210,391,1508,2174
YH_037.posterior,23967,40784,12496,13518,2139,2582,4007,4,0,0
YH_023.posterior,17428,0,51718,22653,2576,980,3863,31,0,248
YH_016.posterior,32561,21330,29262,14223,1,791,619,572,0,138
YH_040.posterior,25907,15019,12235,12646,3642,2110,7411,9262,11114,151
YH_026.posterior,22625,15539,35350,21928,1854,2029,147,0,0,25
YH_032.posterior,36410,12680,3515,19649,21062,5569,372,178,0,62
YH_020.posterior,32634,8751,30705,22948,2676,1607,88,28,0,60
YH_018.posterior,25481,4242,34404,21124,89,10052,3058,825,186,36
YH_039.posterior,10290,0,81713,0,0,596,4664,0,96,2138
YH_033.posterior,40696,14949,26360,14744,231,413,224,0,0,1880
YH_027.posterior,52962,22267,10309,5098,0,2822,800,409,4728,102
YH_021.posterior,18440,5771,14586,20893,10313,19571,6227,1432,1760,504
YH_019.posterior,45784,5097,40569,3772,260,631,592,175,0,2617
YH_038.posterior,29034,5585,12125,16284,7425,18583,6027,2960,1354,120
YH_042.posterior,45465,33520,14021,0,2108,408,3914,58,0,3
