# File: YH_029.posterior
# Summary of state calls for this individual:
#   1,0,1,0: 27915
#   1,0,0,1: 21090
#   0,1,0,1: 16547
#   0,1,1,0: 11469
#   1,1,0,0: 8195
#   0,0,2,0: 5492
#   2,0,0,0: 5466
#   0,0,0,2: 1787
#   0,2,0,0: 882
#   0,0,1,1: 654
#----------------------------------------
chrom,position,called_state
LG1,100146,"2,0,0,0"
LG1,101720,"2,0,0,0"
LG1,104189,"2,0,0,0"
LG1,106279,"2,0,0,0"
LG1,108630,"2,0,0,0"
LG1,111345,"2,0,0,0"
LG1,113722,"2,0,0,0"
LG1,120566,"2,0,0,0"
LG1,123691,"2,0,0,0"
LG1,125743,"2,0,0,0"
LG1,128514,"2,0,0,0"
LG1,130141,"2,0,0,0"
LG1,133230,"2,0,0,0"
LG1,136038,"2,0,0,0"
LG1,144023,"2,0,0,0"
LG1,148913,"2,0,0,0"
LG1,162645,"2,0,0,0"
LG1,168167,"2,0,0,0"
LG1,175576,"2,0,0,0"
LG1,184896,"2,0,0,0"
LG1,187558,"2,0,0,0"
LG1,189480,"2,0,0,0"
LG1,193695,"2,0,0,0"
LG1,195393,"2,0,0,0"
LG1,197975,"2,0,0,0"
LG1,208265,"2,0,0,0"
LG1,210657,"2,0,0,0"
LG1,214524,"2,0,0,0"
LG1,217883,"2,0,0,0"
LG1,227589,"2,0,0,0"
LG1,230888,"2,0,0,0"
LG1,231992,"2,0,0,0"
LG1,239978,"2,0,0,0"
LG1,243738,"2,0,0,0"
LG1,247361,"2,0,0,0"
LG1,249153,"2,0,0,0"
LG1,252674,"2,0,0,0"
LG1,255562,"2,0,0,0"
LG1,259815,"2,0,0,0"
LG1,263067,"2,0,0,0"
LG1,264449,"2,0,0,0"
LG1,266308,"2,0,0,0"
LG1,268756,"2,0,0,0"
LG1,270192,"2,0,0,0"
LG1,273911,"2,0,0,0"
LG1,277101,"2,0,0,0"
LG1,280435,"2,0,0,0"
LG1,291940,"2,0,0,0"
LG1,294050,"2,0,0,0"
LG1,296363,"2,0,0,0"
LG1,302728,"2,0,0,0"
LG1,304529,"2,0,0,0"
LG1,315025,"2,0,0,0"
LG1,318026,"2,0,0,0"
LG1,320215,"2,0,0,0"
LG1,322131,"2,0,0,0"
LG1,324526,"2,0,0,0"
LG1,327966,"2,0,0,0"
LG1,331168,"2,0,0,0"
LG1,332596,"2,0,0,0"
LG1,348442,"2,0,0,0"
LG1,350537,"2,0,0,0"
LG1,353362,"2,0,0,0"
LG1,366232,"2,0,0,0"
LG1,368338,"2,0,0,0"
LG1,383088,"2,0,0,0"
LG1,388738,"2,0,0,0"
LG1,393635,"2,0,0,0"
LG1,406362,"2,0,0,0"
LG1,408985,"2,0,0,0"
LG1,412325,"2,0,0,0"
LG1,413418,"2,0,0,0"
LG1,414439,"2,0,0,0"
LG1,416588,"2,0,0,0"
LG1,418207,"2,0,0,0"
LG1,423040,"2,0,0,0"
LG1,424945,"2,0,0,0"
LG1,428968,"2,0,0,0"
LG1,432834,"2,0,0,0"
LG1,437936,"2,0,0,0"
LG1,439086,"2,0,0,0"
LG1,440840,"2,0,0,0"
LG1,445800,"2,0,0,0"
LG1,450017,"2,0,0,0"
LG1,453123,"2,0,0,0"
LG1,456063,"2,0,0,0"
LG1,459513,"2,0,0,0"
LG1,463166,"2,0,0,0"
LG1,468768,"2,0,0,0"
LG1,471842,"2,0,0,0"
LG1,473365,"2,0,0,0"
LG1,475302,"2,0,0,0"
LG1,480685,"2,0,0,0"
LG1,488197,"2,0,0,0"
LG1,489579,"2,0,0,0"
LG1,490619,"2,0,0,0"
LG1,500659,"2,0,0,0"
LG1,502457,"2,0,0,0"
LG1,505010,"2,0,0,0"
LG1,513416,"2,0,0,0"
LG1,515206,"2,0,0,0"
LG1,528798,"2,0,0,0"
LG1,533608,"2,0,0,0"
LG1,539535,"2,0,0,0"
LG1,543885,"2,0,0,0"
LG1,548057,"2,0,0,0"
LG1,549465,"2,0,0,0"
LG1,560213,"2,0,0,0"
LG1,562083,"2,0,0,0"
LG1,570415,"2,0,0,0"
LG1,574246,"2,0,0,0"
LG1,580960,"2,0,0,0"
LG1,584488,"2,0,0,0"
LG1,589406,"2,0,0,0"
LG1,590687,"2,0,0,0"
LG1,592199,"2,0,0,0"
LG1,593407,"2,0,0,0"
LG1,594795,"2,0,0,0"
LG1,596846,"2,0,0,0"
LG1,598285,"2,0,0,0"
LG1,600918,"2,0,0,0"
LG1,605619,"2,0,0,0"
LG1,606627,"2,0,0,0"
LG1,613133,"2,0,0,0"
LG1,615944,"2,0,0,0"
LG1,617917,"2,0,0,0"
LG1,619889,"2,0,0,0"
LG1,626007,"2,0,0,0"
LG1,630826,"2,0,0,0"
LG1,637241,"2,0,0,0"
LG1,641654,"2,0,0,0"
LG1,643305,"2,0,0,0"
LG1,648351,"2,0,0,0"
LG1,651322,"2,0,0,0"
LG1,653240,"2,0,0,0"
LG1,655555,"2,0,0,0"
LG1,656806,"2,0,0,0"
LG1,658554,"2,0,0,0"
LG1,660003,"2,0,0,0"
LG1,661132,"2,0,0,0"
LG1,662224,"2,0,0,0"
LG1,663424,"2,0,0,0"
LG1,664712,"2,0,0,0"
LG1,665982,"2,0,0,0"
LG1,667157,"2,0,0,0"
LG1,668296,"2,0,0,0"
LG1,669373,"2,0,0,0"
LG1,670568,"2,0,0,0"
LG1,672439,"2,0,0,0"
LG1,673499,"2,0,0,0"
LG1,675113,"2,0,0,0"
LG1,678905,"2,0,0,0"
LG1,681885,"2,0,0,0"
LG1,682885,"2,0,0,0"
LG1,684368,"2,0,0,0"
LG1,687849,"2,0,0,0"
LG1,689281,"2,0,0,0"
LG1,690711,"2,0,0,0"
LG1,693423,"2,0,0,0"
LG1,694540,"2,0,0,0"
LG1,696772,"2,0,0,0"
LG1,699036,"2,0,0,0"
LG1,702340,"2,0,0,0"
LG1,703556,"2,0,0,0"
LG1,706015,"2,0,0,0"
LG1,709260,"2,0,0,0"
LG1,711147,"2,0,0,0"
LG1,713800,"2,0,0,0"
LG1,715645,"2,0,0,0"
LG1,716716,"2,0,0,0"
LG1,718471,"2,0,0,0"
LG1,720005,"2,0,0,0"
LG1,721086,"2,0,0,0"
LG1,722895,"2,0,0,0"
LG1,725249,"2,0,0,0"
LG1,726433,"2,0,0,0"
LG1,728317,"2,0,0,0"
LG1,732598,"2,0,0,0"
LG1,733759,"2,0,0,0"
LG1,735546,"2,0,0,0"
LG1,743439,"2,0,0,0"
LG1,745373,"2,0,0,0"
LG1,746657,"2,0,0,0"
LG1,748207,"2,0,0,0"
LG1,749475,"2,0,0,0"
LG1,751074,"2,0,0,0"
LG1,752247,"2,0,0,0"
LG1,753585,"2,0,0,0"
LG1,754754,"2,0,0,0"
LG1,756608,"2,0,0,0"
LG1,759484,"2,0,0,0"
LG1,760594,"2,0,0,0"
LG1,762144,"2,0,0,0"
LG1,763832,"2,0,0,0"
LG1,764980,"2,0,0,0"
LG1,767164,"2,0,0,0"
LG1,770936,"2,0,0,0"
LG1,771942,"2,0,0,0"
LG1,776004,"2,0,0,0"
LG1,777296,"2,0,0,0"
LG1,778615,"2,0,0,0"
LG1,779982,"2,0,0,0"
LG1,781047,"2,0,0,0"
LG1,782124,"2,0,0,0"
LG1,784137,"2,0,0,0"
LG1,785227,"2,0,0,0"
LG1,788938,"2,0,0,0"
LG1,790147,"2,0,0,0"
LG1,791588,"2,0,0,0"
LG1,794676,"2,0,0,0"
LG1,797824,"2,0,0,0"
LG1,798892,"2,0,0,0"
LG1,800675,"2,0,0,0"
LG1,801729,"2,0,0,0"
LG1,803015,"2,0,0,0"
LG1,804481,"2,0,0,0"
LG1,805754,"2,0,0,0"
LG1,809362,"2,0,0,0"
LG1,811771,"2,0,0,0"
LG1,814138,"2,0,0,0"
LG1,817578,"2,0,0,0"
LG1,820638,"2,0,0,0"
LG1,822429,"2,0,0,0"
LG1,824631,"2,0,0,0"
LG1,826493,"2,0,0,0"
LG1,827735,"2,0,0,0"
LG1,830667,"2,0,0,0"
LG1,831680,"2,0,0,0"
LG1,832762,"2,0,0,0"
LG1,833812,"2,0,0,0"
LG1,836377,"2,0,0,0"
LG1,839965,"2,0,0,0"
LG1,841137,"2,0,0,0"
LG1,843128,"2,0,0,0"
LG1,846691,"2,0,0,0"
LG1,848188,"2,0,0,0"
LG1,849897,"2,0,0,0"
LG1,851737,"2,0,0,0"
LG1,853442,"2,0,0,0"
LG1,856198,"2,0,0,0"
LG1,860177,"2,0,0,0"
LG1,861303,"2,0,0,0"
LG1,863644,"2,0,0,0"
LG1,866033,"2,0,0,0"
LG1,869412,"2,0,0,0"
LG1,870990,"2,0,0,0"
LG1,872322,"2,0,0,0"
LG1,873915,"2,0,0,0"
LG1,879942,"2,0,0,0"
LG1,883930,"2,0,0,0"
LG1,886027,"2,0,0,0"
LG1,890284,"2,0,0,0"
LG1,896563,"2,0,0,0"
LG1,898008,"2,0,0,0"
LG1,900913,"2,0,0,0"
LG1,903177,"2,0,0,0"
LG1,907145,"2,0,0,0"
LG1,912321,"2,0,0,0"
LG1,913940,"2,0,0,0"
LG1,914983,"2,0,0,0"
LG1,918495,"2,0,0,0"
LG1,921036,"2,0,0,0"
LG1,922631,"2,0,0,0"
LG1,924054,"2,0,0,0"
LG1,926901,"2,0,0,0"
LG1,933389,"2,0,0,0"
LG1,935824,"2,0,0,0"
LG1,936999,"2,0,0,0"
LG1,938839,"2,0,0,0"
LG1,940598,"2,0,0,0"
LG1,943587,"2,0,0,0"
LG1,944931,"2,0,0,0"
