# File: YH_039.posterior
# Summary of state calls for this individual:
#   1,0,0,1: 81713
#   0,1,0,1: 10290
#   0,0,0,2: 4664
#   0,0,1,1: 2138
#   2,0,0,0: 596
#   1,1,0,0: 96
#----------------------------------------
chrom,position,called_state
LG1,100146,"1,0,0,1"
LG1,101720,"1,0,0,1"
LG1,104189,"1,0,0,1"
LG1,106279,"1,0,0,1"
LG1,108630,"1,0,0,1"
LG1,111345,"1,0,0,1"
LG1,113722,"1,0,0,1"
LG1,120566,"1,0,0,1"
LG1,123691,"1,0,0,1"
LG1,125743,"1,0,0,1"
LG1,128514,"1,0,0,1"
LG1,130141,"1,0,0,1"
LG1,133230,"1,0,0,1"
LG1,136038,"1,0,0,1"
LG1,144023,"1,0,0,1"
LG1,148913,"1,0,0,1"
LG1,162645,"1,0,0,1"
LG1,168167,"1,0,0,1"
LG1,175576,"1,0,0,1"
LG1,184896,"1,0,0,1"
LG1,187558,"1,0,0,1"
LG1,189480,"1,0,0,1"
LG1,193695,"1,0,0,1"
LG1,195393,"1,0,0,1"
LG1,197975,"1,0,0,1"
LG1,208265,"1,0,0,1"
LG1,210657,"1,0,0,1"
LG1,214524,"1,0,0,1"
LG1,217883,"1,0,0,1"
LG1,227589,"1,0,0,1"
LG1,230888,"1,0,0,1"
LG1,231992,"1,0,0,1"
LG1,239978,"1,0,0,1"
LG1,243738,"1,0,0,1"
LG1,247361,"1,0,0,1"
LG1,249153,"1,0,0,1"
LG1,252674,"1,0,0,1"
LG1,255562,"1,0,0,1"
LG1,259815,"1,0,0,1"
LG1,263067,"1,0,0,1"
LG1,264449,"1,0,0,1"
LG1,266308,"1,0,0,1"
LG1,268756,"1,0,0,1"
LG1,270192,"1,0,0,1"
LG1,273911,"1,0,0,1"
LG1,277101,"1,0,0,1"
LG1,280435,"1,0,0,1"
LG1,291940,"1,0,0,1"
LG1,294050,"1,0,0,1"
LG1,296363,"1,0,0,1"
LG1,302728,"1,0,0,1"
LG1,304529,"1,0,0,1"
LG1,315025,"1,0,0,1"
LG1,318026,"1,0,0,1"
LG1,320215,"1,0,0,1"
LG1,322131,"1,0,0,1"
LG1,324526,"1,0,0,1"
LG1,327966,"1,0,0,1"
LG1,331168,"1,0,0,1"
LG1,332596,"1,0,0,1"
LG1,348442,"1,0,0,1"
LG1,350537,"1,0,0,1"
LG1,353362,"1,0,0,1"
LG1,366232,"1,0,0,1"
LG1,368338,"1,0,0,1"
LG1,383088,"1,0,0,1"
LG1,388738,"1,0,0,1"
LG1,393635,"1,0,0,1"
LG1,406362,"1,0,0,1"
LG1,408985,"1,0,0,1"
LG1,412325,"1,0,0,1"
LG1,413418,"1,0,0,1"
LG1,414439,"1,0,0,1"
LG1,416588,"1,0,0,1"
